generation,prey_fitness,predator_fitness,num_alive_end,avg_bb_size,var_bb_size,avg_shortest_dist,swarm_density_count,prey_neurons_connected_prey_retina,prey_neurons_connected_predator_retina,predator_neurons_connected_prey_retina,mutual_info
1,57470.000000,42530.000000,13,49989.173593,87078779.994262,1076.186907,0.000000,4,6,1,0.004042
1,69121.000000,30879.000000,13,59384.055705,11052699.121376,905.937111,0.000000,4,6,1,0.002973
2,60832.000000,39168.000000,13,47935.773244,120325351.912580,929.760652,0.000000,4,6,1,0.004975
3,56333.000000,43667.000000,11,47352.499221,111542932.049207,1133.231195,0.000000,4,6,1,0.005355
4,67394.000000,32606.000000,19,58870.231827,1872797.949373,957.643548,0.000000,4,6,1,0.003851
5,65781.000000,34219.000000,16,49895.808902,88380293.502101,875.356849,0.000000,4,6,1,0.001226
6,58347.000000,41653.000000,11,55829.511489,58696058.519664,1399.405888,0.000000,4,6,1,0.005200
7,57157.000000,42843.000000,9,52237.404800,47854687.618592,1072.070299,0.000000,4,6,1,0.005025
8,56218.000000,43782.000000,9,50214.396271,135351011.811428,876.307723,0.000000,4,5,1,0.003978
9,61867.000000,38133.000000,15,55537.656480,13143069.455222,984.995715,0.000000,4,5,1,0.003281
10,53925.000000,46075.000000,12,55692.447987,6262228.072144,1259.997831,0.000000,4,5,1,0.008466
11,55887.000000,44113.000000,11,54849.047317,11513847.634454,1517.178029,0.000000,4,5,1,0.005746
12,50649.000000,49351.000000,8,51294.454737,60909722.729719,1423.994253,0.000000,4,5,1,0.003320
13,55172.000000,44828.000000,11,54167.038313,39594382.560365,1358.013138,0.000000,4,5,1,0.007008
14,62961.000000,37039.000000,11,42783.689997,170723279.791490,801.460203,0.000000,4,5,2,0.003633
15,64245.000000,35755.000000,18,58987.138920,13707285.202351,1008.934267,0.000000,4,5,1,0.002544
16,59476.000000,40524.000000,10,48779.484135,122807103.313060,1014.933225,0.000000,4,5,1,0.003033
17,59740.000000,40260.000000,14,55778.407194,41897448.172329,1296.525071,0.000000,3,5,1,0.004957
18,50053.000000,49947.000000,8,46461.115271,80380554.618066,1252.756502,0.000000,3,5,1,0.008002
19,62743.000000,37257.000000,14,49384.748183,204799856.867709,827.852304,0.000000,3,5,1,0.005260
20,100000.000000,1.000000,50,61442.779972,0.000000,617.600108,0.000000,3,5,0,0.000000
21,61308.000000,38692.000000,13,48825.649342,73002423.808812,851.233439,0.000000,3,5,2,0.005580
22,67044.000000,32956.000000,19,55204.921676,76354681.355834,841.464726,0.000000,3,5,2,0.002207
23,74074.000000,25926.000000,28,60487.964039,158349.496866,698.169930,0.000000,3,5,1,0.000686
24,100000.000000,1.000000,50,63414.921725,0.000000,627.478349,0.000000,3,5,0,0.000000
25,64862.000000,35138.000000,13,54844.954500,13009486.581109,1204.955664,0.000000,3,5,1,0.002217
26,56381.000000,43619.000000,7,50836.752070,68996878.414390,1291.600662,0.000000,3,5,1,0.007848
27,55588.000000,44412.000000,11,47731.533608,56887537.663703,861.816874,0.000000,3,5,1,0.003153
28,64649.000000,35351.000000,16,56268.855363,8266703.492901,1004.069946,0.000000,3,5,1,0.002584
29,64963.000000,35037.000000,13,52652.808973,60184140.777690,1031.934913,0.000000,3,5,1,0.005179
30,55740.000000,44260.000000,9,50599.529953,53108406.422442,1353.877576,0.000000,3,5,1,0.002277
31,52585.000000,47415.000000,10,50136.357128,67539488.209523,1102.166588,0.000000,3,5,1,0.003388
32,62715.000000,37285.000000,17,51853.795426,98823510.184916,890.149437,0.000000,3,5,1,0.001983
33,58611.000000,41389.000000,12,51791.989282,32034852.338387,779.239462,0.000000,3,5,1,0.013252
34,60857.000000,39143.000000,13,52414.180372,89960405.438095,839.793013,0.000000,3,5,2,0.003065
35,66114.000000,33886.000000,18,53114.977161,75647974.454658,948.672017,0.000000,3,5,1,0.004139
