Update,NOT,NAND,AND,EPS,OR,ANDN,NOR,XOR,EQU
# Reaction counts - Low resource environment
# Brian Connelly - 2011/12/15

100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500.0,234.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600.0,533.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700.0,868.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1800.0,1324.0,51.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1900.0,1534.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000.0,1740.0,203.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2100.0,2388.0,421.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2200.0,2702.0,776.0,6.0,16.0,0.0,1.0,0.0,0.0,0.0
2300.0,3145.0,1153.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0
2400.0,3336.0,1763.0,38.0,19.0,0.0,9.0,0.0,0.0,0.0
2500.0,2800.0,1574.0,36.0,5.0,0.0,336.0,0.0,0.0,0.0
2600.0,2484.0,1571.0,51.0,4.0,0.0,916.0,1.0,0.0,0.0
2700.0,1841.0,1093.0,20.0,11.0,0.0,1451.0,0.0,0.0,0.0
2800.0,1745.0,661.0,13.0,7.0,0.0,2086.0,0.0,0.0,0.0
2900.0,1575.0,373.0,23.0,9.0,0.0,2099.0,0.0,0.0,0.0
3000.0,1535.0,188.0,14.0,3.0,0.0,2246.0,0.0,0.0,0.0
3100.0,1851.0,169.0,12.0,4.0,0.0,2780.0,0.0,0.0,0.0
3200.0,2079.0,95.0,21.0,1.0,0.0,3235.0,0.0,0.0,0.0
3300.0,2160.0,57.0,21.0,9.0,0.0,3337.0,0.0,0.0,0.0
3400.0,2337.0,5.0,18.0,8.0,0.0,3627.0,0.0,0.0,0.0
3500.0,2671.0,6.0,6.0,10.0,5.0,4182.0,0.0,0.0,0.0
3600.0,2879.0,16.0,19.0,9.0,7.0,4388.0,0.0,0.0,0.0
3700.0,2996.0,20.0,45.0,11.0,0.0,4449.0,0.0,0.0,0.0
3800.0,2778.0,19.0,59.0,6.0,0.0,4303.0,0.0,0.0,0.0
3900.0,2934.0,29.0,205.0,6.0,0.0,4656.0,0.0,0.0,0.0
4000.0,2563.0,21.0,260.0,4.0,1.0,4408.0,0.0,0.0,0.0
4100.0,2336.0,23.0,487.0,4.0,0.0,4421.0,0.0,0.0,0.0
4200.0,2216.0,31.0,774.0,11.0,0.0,4747.0,0.0,0.0,0.0
4300.0,2070.0,54.0,868.0,6.0,0.0,4493.0,0.0,0.0,0.0
4400.0,1595.0,43.0,1364.0,10.0,0.0,4428.0,0.0,0.0,0.0
4500.0,1182.0,41.0,1828.0,6.0,1.0,4211.0,0.0,0.0,0.0
4600.0,927.0,63.0,2084.0,5.0,0.0,4316.0,0.0,0.0,0.0
4700.0,527.0,74.0,2562.0,4.0,8.0,4286.0,0.0,0.0,0.0
4800.0,409.0,59.0,2812.0,5.0,1.0,4450.0,0.0,0.0,0.0
4900.0,289.0,77.0,2934.0,7.0,0.0,4437.0,1.0,0.0,0.0
5000.0,205.0,68.0,3293.0,2.0,0.0,4687.0,0.0,0.0,0.0
5100.0,177.0,59.0,3345.0,11.0,0.0,4761.0,0.0,0.0,0.0
5200.0,130.0,81.0,3230.0,6.0,0.0,4637.0,0.0,0.0,0.0
5300.0,101.0,67.0,3418.0,8.0,0.0,4712.0,2.0,0.0,0.0
5400.0,88.0,50.0,3281.0,4.0,0.0,4601.0,1.0,0.0,0.0
5500.0,73.0,42.0,3356.0,1.0,0.0,4618.0,0.0,0.0,0.0
5600.0,65.0,54.0,3155.0,5.0,0.0,4389.0,0.0,0.0,0.0
5700.0,70.0,59.0,3287.0,8.0,0.0,4562.0,1.0,0.0,0.0
5800.0,66.0,51.0,3264.0,14.0,0.0,4502.0,0.0,0.0,0.0
5900.0,93.0,55.0,3295.0,3.0,1.0,4526.0,0.0,0.0,0.0
6000.0,114.0,67.0,3454.0,5.0,0.0,4672.0,1.0,0.0,0.0
6100.0,79.0,89.0,3424.0,4.0,0.0,4725.0,0.0,0.0,0.0
6200.0,66.0,62.0,3274.0,8.0,0.0,4435.0,0.0,0.0,0.0
6300.0,107.0,68.0,3447.0,5.0,0.0,4710.0,2.0,0.0,0.0
6400.0,61.0,64.0,3331.0,9.0,0.0,4671.0,5.0,0.0,0.0
6500.0,107.0,73.0,3281.0,7.0,4.0,4472.0,3.0,0.0,0.0
6600.0,101.0,94.0,3457.0,11.0,0.0,4664.0,21.0,0.0,0.0
