Plate,Time,Temperature,Row,Column,Luminescence
# Luminescence of evolved V. harveyi
# Eric Bruger - 2012/06/27

Plate1,00:00:00,26.3,0,0,7444.945
Plate1,00:00:00,26.3,0,1,4845.375
Plate1,00:00:00,26.3,0,2,4056.362
Plate1,00:00:00,26.3,0,3,4883.137
Plate1,00:00:00,26.3,0,4,3593.289
Plate1,00:00:00,26.3,0,5,2645.281
Plate1,00:00:00,26.3,0,6,3887.43
Plate1,00:00:00,26.3,0,7,2931.472
Plate1,00:00:00,26.3,0,8,2535.972
Plate1,00:00:00,26.3,0,9,3028.856
Plate1,00:00:00,26.3,0,10,2021.225
Plate1,00:00:00,26.3,0,11,1458.78
Plate1,00:00:00,26.3,1,0,2377690.0
Plate1,00:00:00,26.3,1,1,10744.093
Plate1,00:00:00,26.3,1,2,10507.588
# Look at that luminoscity!!!
Plate1,00:00:00,26.3,1,3,1303908.75
Plate1,00:00:00,26.3,1,4,8029.252
Plate1,00:00:00,26.3,1,5,6226.645
Plate1,00:00:00,26.3,1,6,750748.938
Plate1,00:00:00,26.3,1,7,6403.527
Plate1,00:00:00,26.3,1,8,5626.438
Plate1,00:00:00,26.3,1,9,696535.625
Plate1,00:00:00,26.3,1,10,4380.314
Plate1,00:00:00,26.3,1,11,2319.341
Plate1,00:00:00,26.3,2,0,2288458.0
Plate1,00:00:00,26.3,2,1,13935.919
Plate1,00:00:00,26.3,2,2,13280.064
Plate1,00:00:00,26.3,2,3,1388537.875
Plate1,00:00:00,26.3,2,4,10330.706
Plate1,00:00:00,26.3,2,5,8490.338
Plate1,00:00:00,26.3,2,6,891165.438
Plate1,00:00:00,26.3,2,7,10094.2
Plate1,00:00:00,26.3,2,8,8615.546
Plate1,00:00:00,26.3,2,9,722992.375
Plate1,00:00:00,26.3,2,10,7184.59
Plate1,00:00:00,26.3,2,11,4696.317
Plate1,00:00:00,26.3,3,0,2123296.0
Plate1,00:00:00,26.3,3,1,14049.203
Plate1,00:00:00,26.3,3,2,13369.499
Plate1,00:00:00,26.3,3,3,1235986.0
Plate1,00:00:00,26.3,3,4,10145.874
Plate1,00:00:00,26.3,3,5,9776.21
Plate1,00:00:00,26.3,3,6,1565727.875
Plate1,00:00:00,26.3,3,7,12018.041
Plate1,00:00:00,26.3,3,8,10501.625
Plate1,00:00:00,26.3,3,9,772044.437
Plate1,00:00:00,26.3,3,10,9018.996
Plate1,00:00:00,26.3,3,11,6799.027
Plate1,00:00:00,26.3,4,0,13136.969
Plate1,00:00:00,26.3,4,1,1914074.25
Plate1,00:00:00,26.3,4,2,1089044.875
Plate1,00:00:00,26.3,4,3,12363.855
Plate1,00:00:00,26.3,4,4,940014.625
Plate1,00:00:00,26.3,4,5,690221.5
Plate1,00:00:00,26.3,4,6,11064.07
Plate1,00:00:00,26.3,4,7,1038812.25
Plate1,00:00:00,26.3,4,8,1219693.0
Plate1,00:00:00,26.3,4,9,10561.248
Plate1,00:00:00,26.3,4,10,1387411.0
Plate1,00:00:00,26.3,4,11,1533901.125
Plate1,00:00:00,26.3,5,0,10445.978
Plate1,00:00:00,26.3,5,1,1894843.75
Plate1,00:00:00,26.3,5,2,1127237.375
Plate1,00:00:00,26.3,5,3,11618.565
Plate1,00:00:00,26.3,5,4,1173733.5
Plate1,00:00:00,26.3,5,5,758925.25
Plate1,00:00:00,26.3,5,6,9847.758
Plate1,00:00:00,26.3,5,7,974091.313
Plate1,00:00:00,26.3,5,8,1177255.375
Plate1,00:00:00,26.3,5,9,10267.107
Plate1,00:00:00,26.3,5,10,896209.562
Plate1,00:00:00,26.3,5,11,1371294.875
Plate1,00:00:00,26.3,6,0,9921.293
Plate1,00:00:00,26.3,6,1,2098518.5
Plate1,00:00:00,26.3,6,2,1167339.875
Plate1,00:00:00,26.3,6,3,10585.098
Plate1,00:00:00,26.3,6,4,1261347.625
Plate1,00:00:00,26.3,6,5,1035525.062
Plate1,00:00:00,26.3,6,6,9201.841
Plate1,00:00:00,26.3,6,7,884819.625
Plate1,00:00:00,26.3,6,8,1126684.875
Plate1,00:00:00,26.3,6,9,9050.795
Plate1,00:00:00,26.3,6,10,763647.438
Plate1,00:00:00,26.3,6,11,1342572.375
Plate1,00:00:00,26.3,7,0,4060.337
Plate1,00:00:00,26.3,7,1,6588.359
Plate1,00:00:00,26.3,7,2,5105.729
Plate1,00:00:00,26.3,7,3,4302.805
Plate1,00:00:00,26.3,7,4,4948.722
Plate1,00:00:00,26.3,7,5,4726.129
Plate1,00:00:00,26.3,7,6,4215.357
Plate1,00:00:00,26.3,7,7,5256.775
Plate1,00:00:00,26.3,7,8,5481.355
Plate1,00:00:00,26.3,7,9,3796.008
Plate1,00:00:00,26.3,7,10,4402.176
Plate1,00:00:00,26.3,7,11,4732.091
Plate1,00:15:00,30.1,0,0,6088.0
Plate1,00:15:00,30.1,0,1,3976.694
Plate1,00:15:00,30.1,0,2,3392.885
Plate1,00:15:00,30.1,0,3,4496.523
Plate1,00:15:00,30.1,0,4,3496.851
Plate1,00:15:00,30.1,0,5,2791.083
Plate1,00:15:00,30.1,0,6,3952.702
Plate1,00:15:00,30.1,0,7,2765.092
Plate1,00:15:00,30.1,0,8,2533.168
Plate1,00:15:00,30.1,0,9,2683.119
Plate1,00:15:00,30.1,0,10,1807.406
Plate1,00:15:00,30.1,0,11,1135.627
Plate1,00:15:00,30.1,1,0,1814980.0
Plate1,00:15:00,30.1,1,1,8359.254
Plate1,00:15:00,30.1,1,2,9101.011
Plate1,00:15:00,30.1,1,3,1369602.125
Plate1,00:15:00,30.1,1,4,7891.408
Plate1,00:15:00,30.1,1,5,6789.77
Plate1,00:15:00,30.1,1,6,811587.438
Plate1,00:15:00,30.1,1,7,5752.111
Plate1,00:15:00,30.1,1,8,5172.301
Plate1,00:15:00,30.1,1,9,645180.062
Plate1,00:15:00,30.1,1,10,3824.744
Plate1,00:15:00,30.1,1,11,1931.366
Plate1,00:15:00,30.1,2,0,1803335.75
Plate1,00:15:00,30.1,2,1,11338.275
Plate1,00:15:00,30.1,2,2,11510.22
Plate1,00:15:00,30.1,2,3,1463595.25
Plate1,00:15:00,30.1,2,4,10768.463
Plate1,00:15:00,30.1,2,5,9067.021
Plate1,00:15:00,30.1,2,6,905292.625
Plate1,00:15:00,30.1,2,7,9878.755
Plate1,00:15:00,30.1,2,8,8143.325
Plate1,00:15:00,30.1,2,9,689837.438
Plate1,00:15:00,30.1,2,10,5974.038
Plate1,00:15:00,30.1,2,11,3834.74
Plate1,00:15:00,30.1,3,0,1742731.5
Plate1,00:15:00,30.1,3,1,11338.275
Plate1,00:15:00,30.1,3,2,11138.342
Plate1,00:15:00,30.1,3,3,1318994.75
Plate1,00:15:00,30.1,3,4,10582.524
Plate1,00:15:00,30.1,3,5,10678.492
Plate1,00:15:00,30.1,3,6,1849278.625
Plate1,00:15:00,30.1,3,7,11658.171
Plate1,00:15:00,30.1,3,8,9121.004
Plate1,00:15:00,30.1,3,9,593001.25
Plate1,00:15:00,30.1,3,10,7307.6
Plate1,00:15:00,30.1,3,11,5966.041
Plate1,00:15:00,30.1,4,0,11186.325
Plate1,00:15:00,30.1,4,1,1456439.625
Plate1,00:15:00,30.1,4,2,1076852.25
Plate1,00:15:00,30.1,4,3,11112.35
Plate1,00:15:00,30.1,4,4,1195173.375
Plate1,00:15:00,30.1,4,5,944049.937
Plate1,00:15:00,30.1,4,6,10994.389
Plate1,00:15:00,30.1,4,7,1205897.875
Plate1,00:15:00,30.1,4,8,872747.312
Plate1,00:15:00,30.1,4,9,8417.235
Plate1,00:15:00,30.1,4,10,1180950.125
Plate1,00:15:00,30.1,4,11,1321448.0
Plate1,00:15:00,30.1,5,0,8931.066
Plate1,00:15:00,30.1,5,1,1505925.375
Plate1,00:15:00,30.1,5,2,1103909.375
Plate1,00:15:00,30.1,5,3,10536.539
Plate1,00:15:00,30.1,5,4,1476883.0
Plate1,00:15:00,30.1,5,5,1050381.0
Plate1,00:15:00,30.1,5,6,9640.833
Plate1,00:15:00,30.1,5,7,1151573.75
Plate1,00:15:00,30.1,5,8,1163511.875
Plate1,00:15:00,30.1,5,9,8641.162
Plate1,00:15:00,30.1,5,10,988641.25
Plate1,00:15:00,30.1,5,11,1038302.875
Plate1,00:15:00,30.1,6,0,8329.264
Plate1,00:15:00,30.1,6,1,1678564.625
Plate1,00:15:00,30.1,6,2,1078997.75
Plate1,00:15:00,30.1,6,3,9728.805
Plate1,00:15:00,30.1,6,4,1464984.75
Plate1,00:15:00,30.1,6,5,1274213.375
Plate1,00:15:00,30.1,6,6,9290.948
Plate1,00:15:00,30.1,6,7,1037343.188
Plate1,00:15:00,30.1,6,8,1162458.25
Plate1,00:15:00,30.1,6,9,7929.396
Plate1,00:15:00,30.1,6,10,852072.125
Plate1,00:15:00,30.1,6,11,1040860.125
Plate1,00:15:00,30.1,7,0,3406.881
Plate1,00:15:00,30.1,7,1,5462.206
Plate1,00:15:00,30.1,7,2,4786.428
Plate1,00:15:00,30.1,7,3,4112.649
Plate1,00:15:00,30.1,7,4,5418.22
Plate1,00:15:00,30.1,7,5,5616.155
Plate1,00:15:00,30.1,7,6,4328.578
Plate1,00:15:00,30.1,7,7,5490.197
Plate1,00:15:00,30.1,7,8,4898.391
Plate1,00:15:00,30.1,7,9,3602.817
